Order_ID,Customer_Name,Product_Name,,Quantity,Price,Total_Price,Phone
1,John Smith,iPhone,,2,$899 ,"$1,798 ",3032008961
2,Jane Doe,Laptop,,1,"$1,199 ","$1,199 ",3032008961
3,Bob Johnson,Tablet,,3,$299 ,$897 ,3032008961
4,Sarah Wilson,Desk Chair,,2,$199 ,$398 ,3032008961
5,Mike Brown,Microwave,,1,$99 ,$99 ,3032008961
6,Mary Davis,Laptop,,2,"$1,199 ","$2,398 ",3032008961
7,Tom Lee,Smartphone,,1,$699 ,$699 ,3032008961
8,Emily White,Monitor,,3,$299 ,$897 ,3032008961
9,Chris Brown,Headphones,,2,$149 ,$298 ,3032008961
10,Lisa Green,Laptop,,1,"$1,199 ","$1,199 ",3032008961
5,Mike Brown,Microwave,,1,$99 ,$99 ,3032008961
8,Emily White,Monitor,,3,$299 ,$897 ,3032008961
